Vote date,Male,Female,Format,Bottom,Competition,Outright
14,Andrew,-,Most popular islander,3,Males,0
14,Ikenna,-,Most popular islander,3,Males,1
14,Jay,-,Most popular islander,3,Males,0
14,-,Amber,Most popular islander,3,Females,1
14,-,Ekin-Su,Most popular islander,3,Females,0
14,-,Tasha,Most popular islander,3,Females,0
24,Andrew,Tasha,Most compatible couple,3,Couples,0
24,Charlie,Antigoni,Most compatible couple,3,Couples,0
24,Jay,Danica,Most compatible couple,3,Couples,0
33,Dami,Summer,Favourite couple,2,Couples,0
33,Jay,Chyna,Favourite couple,2,Couples,0
38,-,Summer,Favourite islander,3,Females,0
38,-,Coco,Favourite islander,3,Females,1
38,-,Tasha,Favourite islander,3,Females,0
38,Deji,-,Favourite islander,3,Males,0
38,Josh,-,Favourite islander,3,Males,1
38,Andrew,-,Favourite islander,3,Males,0
43,-,Danica,Favourite islander,2,Females,0
43,-,Summer,Favourite islander,2,Females,0
43,Billy,-,Favourite islander,2,Males,0
43,Dami,-,Favourite islander,2,Males,0
47,Deji,Lacey,Most compatible couple,2,Couples,1
47,Nathalia,Reece,Most compatible couple,2,Couples,1
