"","Date","Islander","Negative","total_tweets"
"1",2021-06-27,"Aaron",0,5
"2",2021-06-27,"Aaron S",0,5
"3",2021-06-27,"Abigail",0,3
"4",2021-06-27,"AJ",0,2
"5",2021-06-27,"Amy",0,5
"6",2021-06-27,"Brad",0,5
"7",2021-06-27,"Brett",0,0
"8",2021-06-27,"Chloe",0,5
"9",2021-06-27,"Chuggs",0,0
"10",2021-06-27,"Clarisse",0,0
"11",2021-06-27,"Dale",0,0
"12",2021-06-27,"Danny",0,1
"13",2021-06-27,"Faye",0,3
"14",2021-06-27,"Georgia",0,0
"15",2021-06-27,"Harry",0,0
"16",2021-06-27,"Hugo",0,5
"17",2021-06-27,"Jack",0,0
"18",2021-06-27,"Jake",0,1
"19",2021-06-27,"Kaila",0,0
"20",2021-06-27,"Kaz",0,0
"21",2021-06-27,"Liam",0,0
"22",2021-06-27,"Liberty",0,1
"23",2021-06-27,"Lillie",0,0
"24",2021-06-27,"Lucinda",0,0
"25",2021-06-27,"Mary",0,2
"26",2021-06-27,"Matthew",0,7
"27",2021-06-27,"Medhy",0,0
"28",2021-06-27,"Millie",0,0
"29",2021-06-27,"Priya",0,0
"30",2021-06-27,"Rachel",0,0
"31",2021-06-27,"Salma",0,0
"32",2021-06-27,"Sam",0,4
"33",2021-06-27,"Shannon",1,5
"34",2021-06-27,"Sharon",0,8
"35",2021-06-27,"Teddy",0,0
"36",2021-06-27,"Toby",0,1
"37",2021-06-27,"Tyler",0,0
"38",2021-06-28,"Aaron",88,1727
"39",2021-06-28,"Aaron S",88,1727
"40",2021-06-28,"Abigail",0,28
"41",2021-06-28,"AJ",1,121
"42",2021-06-28,"Amy",0,23
"43",2021-06-28,"Brad",15,574
"44",2021-06-28,"Brett",0,0
"45",2021-06-28,"Chloe",55,1419
"46",2021-06-28,"Chuggs",0,2
"47",2021-06-28,"Clarisse",0,0
"48",2021-06-28,"Dale",0,2
"49",2021-06-28,"Danny",0,5
"50",2021-06-28,"Faye",36,857
"51",2021-06-28,"Georgia",0,4
"52",2021-06-28,"Harry",0,4
"53",2021-06-28,"Hugo",42,1875
"54",2021-06-28,"Jack",2,58
"55",2021-06-28,"Jake",31,3019
"56",2021-06-28,"Kaila",0,0
"57",2021-06-28,"Kaz",12,1237
"58",2021-06-28,"Liam",0,3
