Contestant,Title,Gender,Age,Entered,Exited,First_ep,Last_ep,grepl_code
Liam Reardon,Liam,Male,21,,,4,58,liam
Millie Court,Millie,Female,24,,,8,58,millie|milly
Chloe Burrows,Chloe,Female,25,,,1,58,chloe|chloby
Toby Aromolaran,Toby,Male,22,,,1,58,toby|tobes|chloby
Faye Winter,Faye,Female,26,,,1,58,fay
Teddy Soares,Teddy,Male,26,,,12,58,teddy
Kaz Kamwi,Kaz,Female,26,,,1,58,kaz|kas|kyler
Tyler Cruickshank,Tyler,Male,26,,,23,58,tyler|kyler
Jake Cornish,Jake,Male,24,,,1,54,jake|jiberty
Liberty Poole,Liberty,Female,21,,,1,54,liberty|jiberty
Aaron Simpson,Aaron S,Male,24,,,42,52,aaron
Mary Bedford,Mary,Female,22,,,29,52,mary
Brett Staniland,Brett,Male,27,,,44,50,brett
Priya Gopaldas,Priya,Female,23,,,42,50,priya
Matthew MacNabb,Matthew,Male,26,,,29,45,matt
Abigail Rawlings,Abigail,Female,27,,,23,42,abi
Dale Mehmet,Dale,Male,24,,,29,42,dale
Amy Day,Amy,Female,25,,,29,38,amy
Clarisse Juliette,Clarisse,Female,23,,,29,38,clarisse
Hugo Hammond,Hugo,Male,24,,,1,38,hugo
Sam Jackson,Sam,Male,23,,,29,38,sam
Harry Young,Harry,Male,24,,,29,32,harry
Jack Barlow,Jack,Male,26,,,29,32,jack
Kaila Troy,Kaila,Female,28,,,29,32,kaila|kayla
Lillie Haynes,Lillie,Female,22,,,29,32,lillie|lily
Medhy Malanda,Medhy,Male,24,,,29,32,medhy
Salma Naran,Salma,Female,20,,,29,32,salma
Aaron Francis,Aaron,Male,24,,,1,28,aaron
Lucinda Strafford,Lucinda,Female,21,,,8,28,lucinda
Georgia Townend,Georgia,Female,28,,,23,25,georgia
AJ Bunker,AJ,Female,28,,,17,23,aj
Danny Bibby,Danny,Male,25,,,18,23,danny
Sharon Gaffka,Sharon,Female,25,,,1,19,sharon
Brad McClelland,Brad,Male,26,,,1,16,brad
Rachel Finni,Rachel,Female,29,,,5,14,rachel
"Oliver ""Chuggs"" Wallis",Chuggs,Male,23,,,4,6,chuggs|oliver
Shannon Singh,Shannon,Female,22,,,1,2,shannon
